24-4-2016.csv
Description,Start Time,Stop Time,Work Time
24-4-2016.csv
Description,Start Time,Stop Time,Work Time
,11:11:59 PM,11:12:12 PM,00:00:13
,11:12:12 PM,11:12:47 PM,00:00:34
,11:12:47 PM,11:12:57 PM,00:00:10
,11:12:57 PM,11:13:21 PM,00:00:24
,11:13:21 PM,11:14:27 PM,00:01:07
,11:14:27 PM,11:14:57 PM,00:00:29
24-4-2016.csv
Description,Start Time,Stop Time,Work Time
split1,11:28:22 PM,11:28:24 PM,00:00:01
test2,11:28:24 PM,11:28:26 PM,00:00:03
space tess t,11:28:26 PM,11:28:35 PM,00:00:08
syblom tes t!@#$%^&*()_+,11:28:35 PM,11:28:50 PM,00:00:09
next pause test ,11:28:50 PM,11:28:53 PM,00:00:02
eod,11:28:53 PM,11:29:37 PM,00:00:17
test,11:29:37 PM,11:29:39 PM,00:00:03
24-4-2016.csv
Description,Start Time,Stop Time,Work Time
test,11:32:20 PM,11:32:26 PM,00:00:06
24-4-2016.csv
Description,Start Time,Stop Time,Work Time
test,11:33:22 PM,11:33:23 PM,00:00:01
test,11:33:23 PM,11:33:24 PM,00:00:00
sdf,11:33:24 PM,11:33:24 PM,00:00:01
sddfs,11:33:24 PM,11:33:25 PM,00:00:00
sd,11:33:25 PM,11:33:25 PM,00:00:00
fsdf,11:33:25 PM,11:33:26 PM,00:00:01
sdf,11:33:26 PM,11:33:28 PM,00:00:02
sdfsdfsdf,11:33:28 PM,11:33:30 PM,00:00:03
dfsdfdsg,11:33:30 PM,11:33:51 PM,00:00:20
24-4-2016.csv
Description,Start Time,Stop Time,Work Time
test1,11:35:00 PM,11:35:01 PM,00:00:01
test2,11:35:01 PM,11:35:02 PM,00:00:01
fsf3,11:35:02 PM,11:35:03 PM,00:00:01
dsgfs3,11:35:03 PM,11:35:04 PM,00:00:01
fsdfd,11:35:04 PM,11:35:05 PM,00:00:01
dfsf,11:35:05 PM,11:35:06 PM,00:00:01
sdfsd,11:35:06 PM,11:35:10 PM,00:00:04
tes scrolll,11:35:10 PM,11:35:12 PM,00:00:02
fsfgdsgsdg,11:35:12 PM,11:35:14 PM,00:00:02
dfsfsd,11:35:14 PM,11:35:15 PM,00:00:01
24-4-2016.csv
Description,Start Time,Stop Time,Work Time
